api,sample,repeat,arm,success,seconds,setup_passed,reported_ok,oracle_reached_target,graph_unchanged,false_success,error
36,jetchat,7,candidate,True,3.407815207960084,True,True,True,True,False,
36,jetchat,8,baseline,True,11.902658042032272,True,True,True,True,False,
36,jetchat,8,candidate,True,3.236156333005056,True,True,True,True,False,
36,jetchat,8,raw,True,10.306659043068066,True,True,True,True,False,
36,jetchat,9,candidate,True,3.525204375036992,True,True,True,True,False,
36,jetchat,9,raw,True,10.370908751152456,True,True,True,True,False,
36,jetchat,9,baseline,True,11.870533874956891,True,True,True,True,False,
36,jetchat,10,raw,True,10.327836543088779,True,True,True,True,False,
36,jetchat,10,baseline,True,11.991225582896732,True,True,True,True,False,
36,jetchat,10,candidate,True,3.3749318330083042,True,True,True,True,False,
37,jetsnack,1,baseline,True,7.588532124995254,True,True,True,True,False,
37,jetsnack,1,candidate,True,2.956842916086316,True,True,True,True,False,
37,jetsnack,1,raw,True,7.070710833999328,True,True,True,True,False,
37,jetsnack,2,candidate,True,3.469154999940656,True,True,True,True,False,
37,jetsnack,2,raw,True,7.186775249894708,True,True,True,True,False,
37,jetsnack,2,baseline,True,7.527139208046719,True,True,True,True,False,
37,jetsnack,3,raw,True,7.100386709091254,True,True,True,True,False,
37,jetsnack,3,baseline,True,7.754388791974634,True,True,True,True,False,
37,jetsnack,3,candidate,True,2.7668464159360155,True,True,True,True,False,
37,jetsnack,4,baseline,True,7.795750875025988,True,True,True,True,False,
37,jetsnack,4,candidate,True,2.9651092090643942,True,True,True,True,False,
37,jetsnack,4,raw,True,7.242750874022022,True,True,True,True,False,
37,jetsnack,5,candidate,True,2.8010628329357132,True,True,True,True,False,
37,jetsnack,5,raw,True,7.146323083899915,True,True,True,True,False,
37,jetsnack,5,baseline,True,7.6110352500109,True,True,True,True,False,
37,jetsnack,6,raw,True,7.1156009590486065,True,True,True,True,False,
37,jetsnack,6,baseline,True,7.8893132919911295,True,True,True,True,False,
37,jetsnack,6,candidate,True,2.879381167003885,True,True,True,True,False,
37,jetsnack,7,baseline,True,7.758156375028193,True,True,True,True,False,
37,jetsnack,7,candidate,True,2.9101136251119897,True,True,True,True,False,
37,jetsnack,7,raw,True,7.153508207993582,True,True,True,True,False,
37,jetsnack,8,candidate,True,2.7898086248897016,True,True,True,True,False,
37,jetsnack,8,raw,True,7.163114791037515,True,True,True,True,False,
37,jetsnack,8,baseline,True,7.675616750027984,True,True,True,True,False,
37,jetsnack,9,raw,True,7.279353291960433,True,True,True,True,False,
37,jetsnack,9,baseline,True,7.813549333019182,True,True,True,True,False,
37,jetsnack,9,candidate,True,3.36015966697596,True,True,True,True,False,
37,jetsnack,10,baseline,True,7.773560959030874,True,True,True,True,False,
37,jetsnack,10,candidate,True,2.8769659580430016,True,True,True,True,False,
37,jetsnack,10,raw,True,7.202207415946759,True,True,True,True,False,
37,jetnews,1,baseline,True,11.565564375021495,True,True,True,True,False,
37,jetnews,1,candidate,True,3.2852236250182614,True,True,True,True,False,
37,jetnews,1,raw,True,10.26863583305385,True,True,True,True,False,
37,jetnews,2,candidate,True,3.364134124945849,True,True,True,True,False,
37,jetnews,2,raw,True,10.214983166893944,True,True,True,True,False,
37,jetnews,2,baseline,True,11.551897958037443,True,True,True,True,False,
37,jetnews,3,raw,True,10.012997625977732,True,True,True,True,False,
37,jetnews,3,baseline,True,11.614687792025506,True,True,True,True,False,
37,jetnews,3,candidate,True,3.268039625021629,True,True,True,True,False,
37,jetnews,4,baseline,True,12.220902874949388,True,True,True,True,False,
37,jetnews,4,candidate,True,3.2694066669791937,True,True,True,True,False,
37,jetnews,4,raw,True,9.959241083008237,True,True,True,True,False,
37,jetnews,5,candidate,True,3.2276752500329167,True,True,True,True,False,
37,jetnews,5,raw,True,10.105851999018341,True,True,True,True,False,
37,jetnews,5,baseline,True,11.50570391700603,True,True,True,True,False,
37,jetnews,6,raw,True,10.128689209115691,True,True,True,True,False,
37,jetnews,6,baseline,True,11.612393749994226,True,True,True,True,False,
37,jetnews,6,candidate,True,3.2720710830762982,True,True,True,True,False,
37,jetnews,7,baseline,True,11.49139612505678,True,True,True,True,False,
37,jetnews,7,candidate,True,3.33087995799724,True,True,True,True,False,
37,jetnews,7,raw,True,10.114235959248617,True,True,True,True,False,
37,jetnews,8,candidate,True,3.246566499932669,True,True,True,True,False,
37,jetnews,8,raw,True,10.19445450103376,True,True,True,True,False,
37,jetnews,8,baseline,True,11.59445133304689,True,True,True,True,False,
37,jetnews,9,raw,True,10.007459168089554,True,True,True,True,False,
37,jetnews,9,baseline,True,11.787646542070433,True,True,True,True,False,
37,jetnews,9,candidate,True,3.2408614580053836,True,True,True,True,False,
37,jetnews,10,baseline,True,11.760414374992251,True,True,True,True,False,
37,jetnews,10,candidate,True,3.4366884169867262,True,True,True,True,False,
37,jetnews,10,raw,True,10.027103126049042,True,True,True,True,False,
37,jetchat,1,baseline,True,11.452501625055447,True,True,True,True,False,
37,jetchat,1,candidate,True,3.0053475830936804,True,True,True,True,False,
37,jetchat,1,raw,True,9.858623625012115,True,True,True,True,False,
37,jetchat,2,candidate,True,3.0936374169541523,True,True,True,True,False,
37,jetchat,2,raw,True,9.968212666921318,True,True,True,True,False,
37,jetchat,2,baseline,True,11.42521212506108,True,True,True,True,False,
37,jetchat,3,raw,True,9.933516709017567,True,True,True,True,False,
37,jetchat,3,baseline,True,11.647151499986649,True,True,True,True,False,
37,jetchat,3,candidate,True,3.0277300419984385,True,True,True,True,False,
37,jetchat,4,baseline,True,11.584551834035665,True,True,True,True,False,
