api,sample,control,repeat,seconds,percent
37,jetnews,raw,6,-6.856618126039393,-67.69501940950586
37,jetnews,raw,7,-6.783356001251377,-67.06740903200472
37,jetnews,raw,8,-6.9478880011010915,-68.15360253357888
37,jetnews,raw,9,-6.76659771008417,-67.61554153186647
37,jetnews,raw,10,-6.5904147090623155,-65.72600905979834
37,jetnews,baseline,1,-8.280340750003234,-71.59478328516799
37,jetnews,baseline,2,-8.187763833091594,-70.87808308932307
37,jetnews,baseline,3,-8.346648167003877,-71.86287153352997
37,jetnews,baseline,4,-8.951496207970195,-73.24742123856595
37,jetnews,baseline,5,-8.278028666973114,-71.94717269525557
37,jetnews,baseline,6,-8.340322666917928,-71.8225961544068
37,jetnews,baseline,7,-8.16051616705954,-71.01414030333252
37,jetnews,baseline,8,-8.347884833114222,-71.99896392958934
37,jetnews,baseline,9,-8.54678508406505,-72.50628913550588
37,jetnews,baseline,10,-8.323725958005525,-70.77748872272207
37,jetsnack,raw,1,-4.113867917913012,-58.181815301109275
37,jetsnack,raw,2,-3.7176202499540523,-51.72862821901268
37,jetsnack,raw,3,-4.333540293155238,-61.03245457894037
37,jetsnack,raw,4,-4.277641664957628,-59.061007887217045
37,jetsnack,raw,5,-4.345260250964202,-60.8041394147673
37,jetsnack,raw,6,-4.2362197920447215,-59.53425180002121
37,jetsnack,raw,7,-4.243394582881592,-59.31907058050025
37,jetsnack,raw,8,-4.373306166147813,-61.05313531509633
37,jetsnack,raw,9,-3.919193624984473,-53.83986005065813
37,jetsnack,raw,10,-4.325241457903758,-60.05438621952249
37,jetsnack,baseline,1,-4.631689208908938,-61.03537723261381
37,jetsnack,baseline,2,-4.057984208106063,-53.91137450690384
37,jetsnack,baseline,3,-4.987542376038618,-64.31896194320886
37,jetsnack,baseline,4,-4.830641665961593,-61.96505947152255
37,jetsnack,baseline,5,-4.809972417075187,-63.197347786141165
37,jetsnack,baseline,6,-5.009932124987245,-63.50276557115686
37,jetsnack,baseline,7,-4.848042749916203,-62.48962402357591
37,jetsnack,baseline,8,-4.885808125138283,-63.65362268928383
37,jetsnack,baseline,9,-4.453389666043222,-56.995732364851115
37,jetsnack,baseline,10,-4.8965950009878725,-62.99037245342871
