api,sample,repeat,arm,success,seconds,setup_passed,reported_ok,oracle_reached_target,graph_unchanged,false_success,error
36,jetchat,7,candidate,True,6.355144541012123,True,True,True,True,False,
36,jetchat,8,baseline,True,12.331433416926302,True,True,True,True,False,
36,jetchat,8,candidate,True,6.056978667038493,True,True,True,True,False,
36,jetchat,8,raw,True,10.662840749835595,True,True,True,True,False,
36,jetchat,9,candidate,True,6.999264542013407,True,True,True,True,False,
36,jetchat,9,raw,True,10.677709585055709,True,True,True,True,False,
36,jetchat,9,baseline,True,12.186532833962701,True,True,True,True,False,
36,jetchat,10,raw,True,10.589046914945357,True,True,True,True,False,
36,jetchat,10,baseline,True,12.35342075000517,True,True,True,True,False,
36,jetchat,10,candidate,True,6.742194792022929,True,True,True,True,False,
37,jetsnack,1,baseline,True,7.854527916060761,True,True,True,True,False,
37,jetsnack,1,candidate,True,4.549615583033301,True,True,True,True,False,
37,jetsnack,1,raw,True,7.005652625113726,True,True,True,True,False,
37,jetsnack,2,candidate,True,4.374991709017195,True,True,True,True,False,
37,jetsnack,2,raw,True,7.336106334114447,True,True,True,True,False,
37,jetsnack,2,baseline,True,7.841376833966933,True,True,True,True,False,
37,jetsnack,3,raw,True,7.3652967509115115,True,True,True,True,False,
37,jetsnack,3,baseline,True,7.814828749978915,True,True,True,True,False,
37,jetsnack,3,candidate,True,4.5630904589779675,True,True,True,True,False,
37,jetsnack,4,baseline,True,7.785512541071512,True,True,True,True,False,
37,jetsnack,4,candidate,True,4.534775209031068,True,True,True,True,False,
37,jetsnack,4,raw,True,7.559965666034259,True,True,True,True,False,
37,jetsnack,5,candidate,True,4.4384427081095055,True,True,True,True,False,
37,jetsnack,5,raw,True,7.207175499992445,True,True,True,True,False,
37,jetsnack,5,baseline,True,7.7837990000844,True,True,True,True,False,
37,jetsnack,6,raw,True,6.935222249943763,True,True,True,True,False,
37,jetsnack,6,baseline,True,7.890454874956049,True,True,True,True,False,
37,jetsnack,6,candidate,True,4.325794250005856,True,True,True,True,False,
37,jetsnack,7,baseline,True,7.826882916036993,True,True,True,True,False,
