api,sample,control,repeat,seconds,percent
36,jetnews,baseline,9,-5.351534333080053,-42.913165232312586
36,jetnews,baseline,10,-5.458471791003831,-42.537869817675436
36,jetsnack,raw,1,-2.3617834160104394,-30.284112746670154
36,jetsnack,raw,2,-2.552897375077009,-33.03475822080533
36,jetsnack,raw,3,5.119319166871719,64.46986234645189
36,jetsnack,raw,4,-2.5403902921825647,-31.68610280890849
36,jetsnack,raw,5,-2.2890969989821315,-29.219460207241067
36,jetsnack,raw,6,-2.4529240400297567,-31.318084894571463
36,jetsnack,raw,7,-2.305812082136981,-29.354992663247792
36,jetsnack,raw,8,-2.2020802081096917,-28.784499290581234
36,jetsnack,raw,9,-2.4641512498492375,-31.997522899328768
36,jetsnack,raw,10,-1.7494875401025638,-22.6040682385381
36,jetsnack,baseline,1,-3.307607209077105,-37.82466501004143
36,jetsnack,baseline,2,-3.2422296250006184,-38.518892211381015
36,jetsnack,baseline,3,4.324930166010745,49.51249226176895
36,jetsnack,baseline,4,-3.1621175829786807,-36.60243154746156
36,jetsnack,baseline,5,-3.530441166018136,-38.900805026659434
36,jetsnack,baseline,6,-3.1092657500412315,-36.628574669051574
36,jetsnack,baseline,7,-3.2922768340213224,-37.23710475623601
36,jetsnack,baseline,8,-2.9904942919965833,-35.43809288092522
36,jetsnack,baseline,9,-3.474983750958927,-39.887776898495254
36,jetsnack,baseline,10,-2.4213232500478625,-28.785738231256055
37,jetchat,raw,1,-4.357561083161272,-44.7327227956653
37,jetchat,raw,2,-4.798822707962245,-48.78558167595941
37,jetchat,raw,3,-4.948346041957848,-49.8028293649357
37,jetchat,raw,4,-4.505359249887988,-45.64379375995373
37,jetchat,raw,5,-4.568325749016367,-46.48235620672574
37,jetchat,raw,6,-4.876498250057921,-49.45133969423584
37,jetchat,raw,7,-4.339058708166704,-44.00118083276227
37,jetchat,raw,8,-4.39349025010597,-44.4963075947353
37,jetchat,raw,9,-4.078678542282432,-41.21001693174895
37,jetchat,raw,10,-3.7403153320774436,-38.22188179895546
37,jetchat,baseline,1,-6.086794791044667,-53.06448929864518
37,jetchat,baseline,2,-6.563719583093189,-56.57668694011527
37,jetchat,baseline,3,-6.477456709020771,-56.49773875808701
37,jetchat,baseline,4,-6.35526179196313,-54.22302289974918
37,jetchat,baseline,5,-6.221476290957071,-54.188209555360054
37,jetchat,baseline,6,-6.546333709033206,-56.77140259072372
37,jetchat,baseline,7,-5.9484129580669105,-51.857966211998765
37,jetchat,baseline,8,-6.05511237506289,-52.49132622592716
37,jetchat,baseline,9,-5.776867333916016,-49.81996014197158
37,jetchat,baseline,10,-5.350207874085754,-46.94940471110961
37,jetnews,raw,1,-4.143259914941154,-41.85577904431326
37,jetnews,raw,2,-3.836980289896019,-38.68761375400662
37,jetnews,raw,3,-4.074127416824922,-40.92874470266936
37,jetnews,raw,4,-3.729257541941479,-37.26243414612435
37,jetnews,raw,5,-4.3127778329653665,-43.24435592380399
37,jetnews,raw,6,-4.434276623884216,-44.585069936759126
37,jetnews,raw,7,-4.121620915015228,-41.61930355447742
37,jetnews,raw,8,-4.541967375087552,-44.78583770421793
37,jetnews,raw,9,-3.8342130408855155,-38.55214514766303
37,jetnews,raw,10,-4.585445709060878,-45.664348602945836
37,jetnews,baseline,1,-5.839449748862535,-50.36142017463609
37,jetnews,baseline,2,-5.576463041943498,-47.836517878757064
37,jetnews,baseline,3,-5.4965932089835405,-48.31464070799064
37,jetnews,baseline,4,-5.410414208075963,-46.28540113772124
37,jetnews,baseline,5,-5.993686124915257,-51.43050991703622
37,jetnews,baseline,6,-6.097930416930467,-52.526220539466074
37,jetnews,baseline,7,-5.803251331904903,-50.093765277719385
37,jetnews,baseline,8,-6.000597666017711,-51.72859326657064
37,jetnews,baseline,9,-5.513438082067296,-47.428446200909555
37,jetnews,baseline,10,-6.107087000040337,-52.81451886508156
37,jetsnack,raw,1,-2.4560370420804247,-35.05793355034578
37,jetsnack,raw,2,-2.9611146250972524,-40.363572857817545
37,jetsnack,raw,3,-2.802206291933544,-38.04607453985815
37,jetsnack,raw,4,-3.025190457003191,-40.015928519290746
37,jetsnack,raw,5,-2.7687327918829396,-38.41633649528643
37,jetsnack,raw,6,-2.609427999937907,-37.62573001837204
37,jetsnack,raw,7,-2.7921950420131907,-38.57396640919598
37,jetsnack,raw,8,-2.9529623750131577,-40.88343554141238
37,jetsnack,raw,9,-3.2442699160892516,-43.83314150634917
37,jetsnack,raw,10,-2.6952942919451743,-37.164896767654284
37,jetsnack,baseline,1,-3.3049123330274597,-42.07652411890535
37,jetsnack,baseline,2,-3.4663851249497384,-44.20633261666755
37,jetsnack,baseline,3,-3.2517382910009474,-41.609847061712266
37,jetsnack,baseline,4,-3.250737332040444,-41.75367151348842
37,jetsnack,baseline,5,-3.3453562919748947,-42.978451678140985
37,jetsnack,baseline,6,-3.564660624950193,-45.17687106055528
37,jetsnack,baseline,7,-3.3805300410604104,-43.19126882725982
37,jetsnack,baseline,8,-3.893624374992214,-47.69526930104914
37,jetsnack,baseline,9,-3.847657291102223,-48.0669000317214
37,jetsnack,baseline,10,-3.4900552919134498,-43.37078343532889
